part_id,Bathroom,Bedroom,Diningroom,Hall,Kitchen,Livingroom,Office,Outdoor
2112,0.0,49.1,0.0,1.8,23.9,11.8,0.0,13.2
2113,3.5,15.1,0.0,11.5,39.3,26.6,0.0,3.7
2114,0.1,0.9,0.0,0.0,60.9,22.6,0.0,15.3
2116,0.0,12.6,0.0,0.0,45.7,38.2,0.0,3.2
2117,0.0,1.1,0.0,0.0,59.0,12.7,0.0,26.9
2118,0.3,7.1,0.0,0.0,41.8,37.5,0.0,13.0
2119,0.0,0.0,0.0,0.0,47.3,18.4,0.0,34.2
2121,10.1,0.0,32.9,0.0,25.9,29.3,0.0,1.5
2122,4.6,29.6,0.0,11.6,7.4,0.4,0.0,46.0
2124,0.1,20.3,0.0,0.0,14.5,37.0,0.0,27.9
2125,0.2,2.6,0.0,0.0,20.2,40.8,0.0,35.9
2126,6.2,4.3,0.0,0.0,56.5,18.2,0.0,14.5
2128,1.0,12.8,0.0,0.0,76.2,5.5,0.0,4.3
2131,0.0,0.1,0.0,0.0,67.5,32.3,0.0,0.0
2132,0.0,19.1,0.0,0.0,30.3,0.7,0.0,49.6
2133,1.0,4.7,0.0,0.0,59.0,20.7,0.0,14.3
2134,19.8,6.7,0.0,0.0,10.0,33.3,0.0,29.9
2135,0.5,0.0,0.0,0.0,53.0,0.1,0.0,46.2
2136,0.1,20.4,0.0,0.0,17.2,56.7,0.0,5.3
2138,1.6,16.6,0.0,0.0,44.9,16.3,0.0,20.3
2139,1.3,33.5,0.0,0.0,37.3,27.6,0.0,0.0
2140,1.0,31.4,0.0,0.0,23.6,43.5,0.0,0.2
2141,0.0,0.0,0.0,0.0,17.3,56.2,0.0,26.4
2142,6.7,19.0,0.0,0.0,13.8,53.3,0.0,6.9
2183,9.6,11.7,0.0,48.8,7.8,0.0,0.0,21.8
2502,0.0,0.0,0.0,0.0,42.0,57.9,0.0,0.0
2503,0.0,0.0,0.0,0.0,54.0,0.6,0.0,45.3
2507,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
2510,53.2,0.0,0.0,0.0,1.1,0.0,0.0,45.5
2511,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2515,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2518,0.0,0.0,0.0,0.0,51.4,1.6,0.0,46.8
2584,0.0,8.1,0.0,0.0,39.5,12.3,0.0,39.9
2615,0.3,0.1,0.0,0.0,58.2,30.3,0.0,10.8
3001,43.2,15.0,0.0,0.0,0.6,36.1,0.1,4.7
3002,9.5,22.4,0.0,0.0,17.6,28.5,5.5,16.2
3004,0.0,7.3,0.0,0.0,35.1,32.4,0.2,24.7
3005,5.3,18.6,0.0,0.0,24.8,35.3,0.0,15.8
3006,10.3,0.0,47.6,0.0,15.9,4.8,0.0,21.1
3007,0.0,40.3,3.1,0.0,18.1,13.1,16.3,9.0
3008,0.0,0.0,4.1,0.0,36.5,48.1,0.0,11.2
3009,8.3,4.0,0.0,0.0,7.3,63.0,0.0,17.2
3010,0.1,5.1,22.2,0.0,6.1,28.0,32.6,5.6
3011,33.1,0.0,27.4,0.0,9.5,8.9,10.6,10.1
3012,20.2,17.5,0.0,0.0,52.4,5.5,0.0,4.1
3014,28.7,3.2,27.8,0.0,14.9,18.1,0.0,7.0
3016,3.2,34.8,0.0,0.0,15.9,24.6,0.0,21.3
3019,0.0,31.1,21.7,0.0,23.3,3.5,3.8,16.3
3020,0.0,25.5,32.2,0.0,33.1,0.0,0.5,8.4
3021,0.0,33.0,6.3,0.0,9.4,0.0,20.4,30.6
3026,13.7,9.0,12.7,0.0,44.9,0.0,2.4,17.0
3028,8.9,25.7,0.0,0.0,6.9,28.8,0.0,29.4
3029,1.6,7.0,0.0,0.0,32.5,26.9,19.7,12.1
3030,0.0,0.0,0.0,0.0,79.8,20.1,0.0,0.0
3031,0.0,18.4,0.0,0.0,28.4,41.1,0.0,11.9
3032,0.0,3.7,0.0,3.6,14.0,27.9,15.0,35.4
3033,0.0,0.0,3.9,0.0,40.5,37.3,0.9,17.2
3034,0.0,0.0,95.9,0.0,4.0,0.0,0.0,0.0
3037,0.0,2.7,0.0,0.0,11.5,30.4,32.4,22.8
3038,4.9,0.7,29.8,0.0,14.2,38.3,0.0,11.8
3039,0.0,0.0,4.1,0.0,8.5,24.7,61.0,1.3
3040,0.0,31.1,0.0,0.0,44.2,24.6,0.0,0.0
3041,0.0,23.5,32.8,0.0,13.6,0.0,13.1,16.7
3043,1.8,0.0,43.8,0.0,14.1,0.0,15.0,25.1
3044,3.7,4.6,17.9,0.0,9.6,45.2,0.0,18.7
3048,7.4,18.4,0.0,0.0,35.3,9.3,24.1,5.2
3051,0.0,3.3,10.2,0.0,50.6,29.3,0.8,5.6
3052,0.0,0.0,59.8,0.0,17.0,5.4,13.3,4.3
3053,0.0,0.6,7.9,0.0,28.0,48.4,0.0,14.7
3054,0.0,0.4,0.0,0.0,14.7,22.3,3.1,59.4
3055,2.2,20.2,0.0,0.0,49.6,25.8,2.0,0.0
3057,0.0,4.2,0.0,0.0,5.5,66.2,2.9,21.0
3058,0.0,2.8,0.0,0.0,21.9,15.4,17.2,42.5
3060,0.0,14.2,2.3,0.0,46.9,3.3,3.2,29.7
3061,10.9,11.7,25.3,0.0,4.4,11.7,0.0,35.7
3062,0.0,0.0,21.7,26.9,24.0,14.3,0.0,12.9
3064,2.1,25.0,0.0,0.0,18.9,53.7,0.0,0.0
3065,0.7,18.3,44.5,0.0,7.0,9.4,0.0,19.7
3066,5.3,7.0,0.0,0.0,7.7,59.8,0.6,19.2
3067,0.0,0.0,2.2,61.3,27.5,0.1,0.3,8.2
